Domain,Area,Element,Item,Year,Unit,Value
"Crops","World","Production","Barley","1961","tonnes","72411104"
"Crops","World","Production","Barley","1962","tonnes","88396959"
"Crops","World","Production","Barley","1963","tonnes","90385850"
"Crops","World","Production","Barley","1964","tonnes","95524923"
"Crops","World","Production","Barley","1965","tonnes","92617012"
"Crops","World","Production","Barley","1966","tonnes","100425696"
"Crops","World","Production","Barley","1967","tonnes","103177495"
"Crops","World","Production","Barley","1968","tonnes","113504505"
"Crops","World","Production","Barley","1969","tonnes","118006371"
"Crops","World","Production","Barley","1970","tonnes","119378695"
"Crops","World","Production","Barley","1971","tonnes","131237044"
"Crops","World","Production","Barley","1972","tonnes","132963909"
"Crops","World","Production","Barley","1973","tonnes","146966081"
"Crops","World","Production","Barley","1974","tonnes","148818870"
"Crops","World","Production","Barley","1975","tonnes","135491720"
"Crops","World","Production","Barley","1976","tonnes","166595806"
"Crops","World","Production","Barley","1977","tonnes","156386493"
"Crops","World","Production","Barley","1978","tonnes","174929309"
"Crops","World","Production","Barley","1979","tonnes","154989948"
"Crops","World","Production","Barley","1980","tonnes","156702822"
"Crops","World","Production","Barley","1981","tonnes","149602582"
"Crops","World","Production","Barley","1982","tonnes","161352537"
"Crops","World","Production","Barley","1983","tonnes","159470171"
"Crops","World","Production","Barley","1984","tonnes","169433845"
"Crops","World","Production","Barley","1985","tonnes","172618338"
"Crops","World","Production","Barley","1986","tonnes","177169275"
"Crops","World","Production","Barley","1987","tonnes","175288684"
"Crops","World","Production","Barley","1988","tonnes","163396406"
"Crops","World","Production","Barley","1989","tonnes","164166455"
"Crops","World","Production","Barley","1990","tonnes","178074020"
"Crops","World","Production","Barley","1991","tonnes","169576979"
"Crops","World","Production","Barley","1992","tonnes","165527881"
"Crops","World","Production","Barley","1993","tonnes","169537557"
"Crops","World","Production","Barley","1994","tonnes","161013838"
"Crops","World","Production","Barley","1995","tonnes","140719168"
"Crops","World","Production","Barley","1996","tonnes","155011848"
"Crops","World","Production","Barley","1997","tonnes","154358297"
"Crops","World","Production","Barley","1998","tonnes","137406074"
"Crops","World","Production","Barley","1999","tonnes","128080281"
"Crops","World","Production","Barley","2000","tonnes","133107721"
"Crops","World","Production","Barley","2001","tonnes","140594348"
"Crops","World","Production","Barley","2002","tonnes","141025111"
"Crops","World","Production","Barley","2003","tonnes","136539386"
"Crops","World","Production","Barley","2004","tonnes","156262167"
"Crops","World","Production","Barley","2005","tonnes","136737092"
"Crops","World","Production","Barley","2006","tonnes","144486118"
"Crops","World","Production","Barley","2007","tonnes","131134438"
"Crops","World","Production","Barley","2008","tonnes","153795026"
"Crops","World","Production","Barley","2009","tonnes","150769722"
"Crops","World","Production","Barley","2010","tonnes","123303344"
"Crops","World","Production","Barley","2011","tonnes","132733302"
"Crops","World","Production","Barley","2012","tonnes","132213548"
"Crops","World","Production","Barley","2013","tonnes","143421287"
"Crops","World","Production","Barley","2014","tonnes","144487586"
"Crops","World","Production","Barley","2015","tonnes","148455619"
"Crops","World","Production","Barley","2016","tonnes","141277993"
"Crops","World","Production","Buckwheat","1961","tonnes","2479596"
"Crops","World","Production","Buckwheat","1962","tonnes","2648790"
"Crops","World","Production","Buckwheat","1963","tonnes","2039149"
"Crops","World","Production","Buckwheat","1964","tonnes","2201085"
"Crops","World","Production","Buckwheat","1965","tonnes","2695458"
"Crops","World","Production","Buckwheat","1966","tonnes","2578392"
"Crops","World","Production","Buckwheat","1967","tonnes","2777463"
"Crops","World","Production","Buckwheat","1968","tonnes","2965281"
"Crops","World","Production","Buckwheat","1969","tonnes","3078816"
"Crops","World","Production","Buckwheat","1970","tonnes","3028054"
"Crops","World","Production","Buckwheat","1971","tonnes","3188992"
"Crops","World","Production","Buckwheat","1972","tonnes","2858577"
"Crops","World","Production","Buckwheat","1973","tonnes","3491936"
