frac,mean,std,type1,type2,rho,tau,gwrsq
0,0,10,1,0.931327598,1,1,1
0.05,0,10,0.699642395,0.678211406,0.987538782,0.969512798,0.974362
0.1,0,10,0.517536742,0.527527656,0.975282839,0.940083124,0.950052
0.15,0,10,0.401026591,0.429603456,0.963250149,0.911746858,0.926969
0.2,0,10,0.322655336,0.361425535,0.951412004,0.884462366,0.905007
0.25,0,10,0.267568224,0.311469716,0.939819149,0.858292053,0.88411
0.3,0,10,0.227369842,0.273391073,0.928431127,0.833189785,0.864194
0.35,0,10,0.196978988,0.243408769,0.917239212,0.809138957,0.845173
0.4,0,10,0.173419508,0.219274943,0.906266498,0.786168087,0.827002
0.45,0,10,0.154642219,0.199381748,0.895493643,0.764267146,0.809623
0.5,0,10,0.139466595,0.182812199,0.884959539,0.743455061,0.793003
0.55,0,10,0.126880061,0.168712377,0.874624697,0.723709212,0.777061
0.6,0,10,0.116346782,0.156631628,0.864498687,0.705033258,0.761787
0.65,0,10,0.10739038,0.146144519,0.854578384,0.687429109,0.747102
0.7,0,10,0.099711349,0.136988876,0.844874417,0.670899666,0.733014
0.75,0,10,0.093029397,0.128892311,0.835404703,0.655464135,0.719491
0.8,0,10,0.08717476,0.121695218,0.826106849,0.641063269,0.706405
0.85,0,10,0.082005363,0.115257355,0.817076024,0.627792156,0.693894
0.9,0,10,0.077423812,0.109481425,0.808154515,0.615492524,0.68174
0.95,0,10,0.073319711,0.104259012,0.799564964,0.60437888,0.670099
1,0,10,0.069633409,0.099516502,0.791093773,0.594262564,0.658819
