frac,mean,std,type1,type2,rho,tau,gwrsq
1,0,0,1,0.931327598,1,1,1
1,0,0.5,0.962307986,0.894332555,0.998438301,0.97043376,0.998686
1,0,1,0.865371563,0.808058519,0.994876887,0.943826525,0.994764
1,0,1.5,0.742472319,0.708962569,0.990046215,0.919175774,0.988299
1,0,2,0.620883619,0.615250978,0.984077233,0.895692607,0.979391
1,0,2.5,0.51417922,0.532498526,0.977040726,0.873025838,0.968179
1,0,3,0.425905915,0.461387858,0.968995657,0.850994114,0.95483
1,0,3.5,0.354810688,0.40100475,0.959996284,0.829497632,0.939536
1,0,4,0.298080122,0.349988163,0.950098361,0.808483498,0.922506
1,0,4.5,0.252801963,0.30693815,0.939367473,0.787929401,0.90396
1,0,5,0.216475563,0.270570362,0.927883295,0.767833584,0.884124
1,0,5.5,0.187104768,0.239765125,0.915737043,0.748206175,0.863223
1,0,6,0.163146179,0.213573946,0.90302515,0.729061843,0.841475
1,0,6.5,0.14342162,0.191207063,0.889843074,0.710414738,0.819088
1,0,7,0.127034098,0.17201341,0.876281195,0.69227585,0.796258
1,0,7.5,0.113299286,0.155459659,0.862422877,0.674652154,0.773165
1,0,8,0.101692018,0.141109833,0.848343951,0.657546717,0.749971
1,0,8.5,0.091806135,0.128607355,0.834112951,0.64095923,0.726822
1,0,9,0.083324992,0.11766025,0.819791596,0.624886588,0.703843
1,0,9.5,0.07599987,0.108029067,0.805435323,0.609323427,0.681145
1,0,10,0.069633409,0.099516502,0.791093773,0.594262564,0.658819
